GSD,scale,iou,acc,f1
GSD0,1.0,0.43134107655479337,0.8003049024127862,0.5175351984109211
GSD0,1.0,0.22048035297162624,0.41057796781461847,0.32409034793769553
GSD0,1.0,0.3919942050350162,0.48694176306465037,0.5540823203299474
GSD0,1.0,0.3943334247673276,0.6215542032394735,0.5129844611664442
GSD0,1.0,0.2779740553276551,0.6809859854116246,0.3746160418502533
GSD0,1.0,0.282365845071931,0.5815841503959823,0.37757821155470517
GSD0,1.0,0.3274982500563213,0.7200193475364494,0.4412429140629865
GSD0,1.0,0.34239791811313597,0.6953372997877705,0.4648470594158686
GSD0,1.0,0.29922694880517375,0.47533296274263126,0.44028779347031044
GSD0,1.0,0.42097536106581696,0.4167372795321954,0.5491829661862512
GSD0,1.0,0.21242346856308875,0.21774680967251095,0.35041131256800356
GSD0,1.0,0.16507185712995792,0.3754468140127548,0.26880963360660404
GSD0,1.0,0.22181300170996418,0.3873548815501436,0.3016756338693946
GSD0,1.0,0.39725990628858154,0.4949454493639931,0.5614894148977198
GSD0,1.0,0.22949423709092584,0.5718913331320123,0.2718348511765636
GSD0,1.0,0.33667742705494097,0.3326024870061909,0.44896380271066527
GSD0,1.0,0.306235625404378,0.6100296274309335,0.37983388039863575
GSD0,1.0,0.06784119370912658,0.15585861397161146,0.10663796233930356
GSD0,1.0,0.3483734352855806,0.49186164970968943,0.48421861507326097
GSD0,1.0,0.2550917244928282,0.3222144028157826,0.36562416012084725
GSD0,1.0,0.15854898857975988,0.20882095247941826,0.21711572724700692
GSD0,1.0,0.25657135682707705,0.38462674195720875,0.36824420922773643
GSD0,1.0,0.3371483405902292,0.5203830763375269,0.46838240807131704
GSD0,1.0,0.18336372684135377,0.5457175210333993,0.25337373139165753
GSD0,1.0,0.3284722754420435,0.8847132224705854,0.4182985924490644
GSD0,1.0,0.45440563383079646,0.8941352524492231,0.5293905277561742
GSD0,1.0,0.9816303253172893,0.9816303253173828,0.9907299693988781
GSD0,1.0,0.298511515417333,0.25758411998572,0.3991016064952213
GSD0,1.0,0.2658629049892148,0.465466158677987,0.33713244031085027
GSD0,1.0,0.231710722534442,0.42956750458080367,0.28031804088664886
GSD0,1.0,0.49862963015942385,0.6837687582863109,0.6179695317183821
GSD0,1.0,0.30038148446033963,0.7920892062871184,0.3210013550438415
GSD0,1.0,0.3090944071211667,0.8595534231408009,0.3706790328474429
GSD0,1.0,0.5145332626937419,0.7606448602171039,0.6309685887775731
GSD0,1.0,0.28748095977077354,0.5741662979125977,0.36506398922887
GSD0,1.0,0.4600171103268239,0.6317663192749023,0.4791759244478476
GSD0,1.0,0.44300745592560614,0.6630664512966401,0.5196236604893041
GSD0,1.0,0.4476772697410999,0.8570851632574646,0.5060743366209602
GSD0,1.0,0.5107941971507812,0.699279272091084,0.6357540205700124
GSD0,1.0,0.16184902378939237,0.27030241250424736,0.21840890186694029
GSD0,1.0,0.26702043244851487,0.4228639248801089,0.38193065808280613
GSD0,1.0,0.10927760896160454,0.13548794472427458,0.15161754566022884
GSD0,1.0,0.2402240735056683,0.47503388603551644,0.31680097783969235
GSD0,1.0,0.2579913958009423,0.6603115709311754,0.3360637832056561
GSD0,1.0,0.3127117192528542,0.8100447789477153,0.36581224279291813
GSD0,1.0,0.295289933723539,0.565654090891718,0.36088728662012626
GSD0,1.0,0.042743165802605676,0.09704834703583187,0.07081881541687506
GSD0,1.0,0.1949361445915288,0.2635724975684083,0.2740372086640714
GSD0,1.0,0.07642552472316826,0.037851885695674006,0.13415079045711514
GSD0,1.0,0.12437653548667349,0.2911830985600147,0.16915394706242126
GSD0,1.0,0.06295926169555119,0.07181513925089174,0.0945332147090005
GSD0,1.0,0.25361367102666776,0.7822033159423785,0.31140872377429685
GSD0,1.0,0.08473396306897071,0.08697837278884589,0.15622992554198764
GSD0,1.0,0.22051191619827182,0.18232981734730075,0.2673268275827521
GSD0,1.0,0.26367671205484583,0.34890363298974525,0.33979542053949224
GSD0,1.0,0.5667628074127165,0.8655302116093674,0.679430644668557
GSD0,1.0,0.885691675765732,0.9571777752259716,0.9393811724602694
GSD0,1.0,0.914046040848937,0.9477270934770433,0.9550930055948145
GSD0,1.0,0.3868178321666228,0.7512049318965965,0.5051389776509614
GSD0,1.0,0.2257242021828426,0.691961876650583,0.26917228116545916
GSD0,1.0,0.32646470756465207,0.8755696627070678,0.39167285737975355
GSD0,1.0,0.39514081616638547,0.924890325344858,0.4414286409166376
GSD0,1.0,0.33247308082598254,0.3761784174104904,0.46330330866409525
GSD0,1.0,0.3441496416735994,0.49156635365924534,0.4593510941358919
GSD0,1.0,0.09887977690289299,0.044529480461348435,0.16159124505099287
GSD0,1.0,0.28846604634612427,0.6404409408569336,0.38214398416398704
GSD1,0.6666666666666666,0.0,0.0,0.0
GSD1,0.6666666666666666,0.05652897978770951,0.12533452029652098,0.09877552262830697
GSD1,0.6666666666666666,0.15108952150951602,0.3554993837347762,0.22479763006833994
GSD1,0.6666666666666666,0.038342278449466326,0.021704853705711572,0.07099330355158943
GSD1,0.6666666666666666,0.09694144757349536,0.06802019543755101,0.1507590663539902
GSD1,0.6666666666666666,0.10626756667426161,0.12616412245648648,0.17466811852107372
GSD1,0.6666666666666666,0.15947143905744549,0.686159651130424,0.18816394453727178
GSD1,0.6666666666666666,0.19670753326132923,0.23118465207117192,0.3064847142066236
GSD1,0.6666666666666666,0.20020894109420728,0.3319348188270736,0.2595869507929661
GSD1,0.6666666666666666,0.07315402766488516,0.07796239029532179,0.11308692895856338
GSD1,0.6666666666666666,0.17382581552623444,0.10606293746943912,0.22849606358614707
GSD1,0.6666666666666666,0.019435754059582047,0.02753010256821754,0.03700650972223274
GSD1,0.6666666666666666,0.0,0.0,0.0
GSD1,0.6666666666666666,0.05880050394993876,0.08310245584958062,0.09088158373674311
GSD1,0.6666666666666666,0.027897427702042028,0.06319977534304132,0.05104188685327254
GSD1,0.6666666666666666,0.10754512502300324,0.24259052692916008,0.17830945220596708
GSD1,0.6666666666666666,0.09594300170743662,0.1323119344037981,0.1398722884921905
GSD1,0.6666666666666666,0.03230475150731255,0.14294264522288316,0.05853162384955926
GSD1,0.6666666666666666,0.03502199105207289,0.13644385702852704,0.0638402203117486
GSD1,0.6666666666666666,0.150211624817345,0.42737105892335064,0.21876149829432973
GSD1,0.6666666666666666,0.0009455389572052918,0.0017439982775325654,0.0018875082122619014
GSD1,0.6666666666666666,0.010597471812596624,0.03304329608024146,0.020725352429221737
GSD1,0.6666666666666666,0.0014461694847751646,0.0023764217632016257,0.0028839971837065917
GSD1,0.6666666666666666,0.0,0.0,0.0
GSD1,0.6666666666666666,0.09442886032993929,0.02537020118700993,0.15885643773680302
GSD1,0.6666666666666666,0.07232708731726968,0.01809753196687247,0.11471992868843349
GSD1,0.6666666666666666,0.05233560980278375,0.06614024564129291,0.09107235675337923
GSD1,0.6666666666666666,0.041935308340774816,0.018336128815833613,0.0734762782109529
GSD1,0.6666666666666666,0.05835969957973723,0.15774715332231343,0.1017493329396506
GSD1,0.6666666666666666,0.01596797307093651,0.007867130035983456,0.02996495089475491
GSD1,0.6666666666666666,0.0014348549954618516,0.0008498159312624294,0.0028591312538938226
GSD1,0.6666666666666666,0.0013928295012594716,0.0019344350632248455,0.0027674896873489435
GSD1,0.6666666666666666,0.03706181154623119,0.0459763902445228,0.06063921939815029
GSD1,0.6666666666666666,0.03587345975674321,0.0037339652118149754,0.06274358910288436
GSD1,0.6666666666666666,0.07097472738398451,0.1496014714898835,0.1114987434969037
GSD1,0.6666666666666666,0.1681416201985394,0.15256517470821365,0.22352941991228192
GSD1,0.6666666666666666,0.15856748386768954,0.13037029764764047,0.24041232254745729
GSD1,0.6666666666666666,0.12464923124637084,0.12335722697876468,0.18029223831044058
GSD1,0.6666666666666666,0.00039981043470733725,0.0006999547443053251,0.0007980254594122807
GSD1,0.6666666666666666,0.029427148533148213,0.09072634631848508,0.054665733586670574
GSD1,0.6666666666666666,0.018202454500215768,0.13043727210500153,0.03282043127645813
GSD1,0.6666666666666666,0.06365869542374736,0.10388057946589979,0.10183239052058206
GSD1,0.6666666666666666,0.0687306611548404,0.02208134817126087,0.0982669118990365
GSD1,0.6666666666666666,0.08343806116604446,0.18832869234882993,0.09838015407205582
GSD1,0.6666666666666666,0.13524550960009427,0.26683587394343705,0.21427648472783936
GSD1,0.6666666666666666,0.1601719128907774,0.0641135610609348,0.21637311511577725
GSD1,0.6666666666666666,0.000536875385256732,0.00018117036052901745,0.0010720223827897254
GSD1,0.6666666666666666,0.001321200454977158,0.00034251313912157853,0.002625057526995631
GSD1,0.6666666666666666,0.0064106844740521906,0.001427841926000109,0.012423155435128687
