Dataset,Weight File,Patch Size,Overlap,Accuracy,F1 Score - Macro,F1 Score - Weighted
Validation,241_aug4_time2024-08-10_best_5e_acc96.pth,256,0.2,0.4632743199666341,0.30518584780004576,0.455086703391606
Test,241_aug4_time2024-08-10_best_5e_acc96.pth,256,0.2,0.3852357864379883,0.2907341693662669,0.3791760996471278
Validation,255_aug5_time2024-08-11_best_5e_acc95.pth,256,0.0,0.4826289527436607,0.3270384152377536,0.46500301644682956
Test,255_aug5_time2024-08-11_best_5e_acc95.pth,256,0.0,0.4444396760728624,0.3247009405722189,0.42218847006195515
Validation,255_aug5_time2024-08-11_best_5e_acc95.pth,256,0.2,0.4821877520308535,0.3206044566114397,0.4662554657190094
Test,255_aug5_time2024-08-11_best_5e_acc95.pth,256,0.2,0.438721948199802,0.3201742894116898,0.4133884984121215
Validation,251_aug5_time2024-08-10_best_5e_acc94.pth,256,0.0,0.4823600247374967,0.3059476019077986,0.45809981606103034
Test,251_aug5_time2024-08-10_best_5e_acc94.pth,256,0.0,0.4030256536271837,0.3166391257606185,0.393414622989112
Validation,251_aug5_time2024-08-10_best_5e_acc94.pth,256,0.2,0.4812341266208225,0.3245106490795681,0.45842730000093723
Test,251_aug5_time2024-08-10_best_5e_acc94.pth,256,0.2,0.42762478192647296,0.335745420056363,0.41424401644520487
Validation,254_aug5_time2024-08-11_best_5e_acc95.pth,256,0.0,0.5047227093297192,0.33600070907701673,0.47699798945783173
Test,254_aug5_time2024-08-11_best_5e_acc95.pth,256,0.0,0.42850123511420357,0.29224037912467,0.4033982052456212
Validation,254_aug5_time2024-08-11_best_5e_acc95.pth,256,0.2,0.4998251597086589,0.3429923309736263,0.47479509487020577
Test,254_aug5_time2024-08-11_best_5e_acc95.pth,256,0.2,0.42567745844523114,0.29450381951252624,0.4031882689175792
Validation,253_aug5_time2024-08-10_best_2e_acc94.pth,256,0.0,0.4694178980639857,0.3207317994725754,0.45527644577103593
Test,253_aug5_time2024-08-10_best_2e_acc94.pth,256,0.0,0.3934200604756673,0.3114399204142048,0.39669068247375505
Validation,253_aug5_time2024-08-10_best_2e_acc94.pth,256,0.2,0.4731133289826222,0.33054708931943044,0.45705567124073754
Test,253_aug5_time2024-08-10_best_2e_acc94.pth,256,0.2,0.3875271744198269,0.305673206619863,0.3855244094494933
Validation,252_aug5_time2024-08-10_best_5e_acc95.pth,256,0.0,0.4754052936521351,0.3139354501327095,0.45325389250077297
