Dataset,Weight File,Patch Size,Overlap,Accuracy,F1 Score - Macro,F1 Score - Weighted
Test,02_base_time2024-12-02_best_5e_acc96.pth,256,0.0,0.3946381409962972,0.30725305961534066,0.3711736122448796
Validation,05_base_time2024-12-04_best_5e_acc96.pth,256,0.0,0.2969274439363398,0.17484878988887112,0.24744545310285826
Test,05_base_time2024-12-04_best_5e_acc96.pth,256,0.0,0.30846569273206925,0.2099306631801917,0.2558712409419202
Validation,45_background_time2024-11-30_best_5e_acc98.pth,256,0.0,0.4606604209313026,0.34190054876998555,0.4165098052216737
Test,45_background_time2024-11-30_best_5e_acc98.pth,256,0.0,0.38117572996351456,0.3157559266974372,0.34537544776456436
Validation,42_background_time2024-11-29_best_5e_acc97.pth,256,0.0,0.4600101780687642,0.32222084705037285,0.44175478134089624
Test,42_background_time2024-11-29_best_5e_acc97.pth,256,0.0,0.4149011770884196,0.35037742549055517,0.4000814558918373
Validation,41_background_time2024-11-29_best_5e_acc98.pth,256,0.0,0.4343584745358198,0.342175238658936,0.40911599315289243
Test,41_background_time2024-11-29_best_5e_acc98.pth,256,0.0,0.3700326813591851,0.32161918197675177,0.33867904439220575
Validation,43_background_time2024-11-29_best_4e_acc98.pth,256,0.0,0.4594456517798269,0.3393457921956595,0.43607754268224674
Test,43_background_time2024-11-29_best_4e_acc98.pth,256,0.0,0.39348610242207843,0.310554154229906,0.36373124712081056
Validation,44_background_time2024-11-30_best_4e_acc98.pth,256,0.0,0.4849211619450496,0.36278330686628574,0.46585534633558373
Test,44_background_time2024-11-30_best_4e_acc98.pth,256,0.0,0.4178873962826199,0.33936042529892063,0.40653457626811523
Validation,233_aug3_time2024-11-30_best_5e_acc96.pth,256,0.0,0.5215845841627854,0.37816007667767754,0.5014134341806469
Test,233_aug3_time2024-11-30_best_5e_acc96.pth,256,0.0,0.48074028227064347,0.37813245628872394,0.4680219674579451
Validation,234_aug3_time2024-12-01_best_5e_acc96.pth,256,0.0,0.4724569809742463,0.34311764674569095,0.43943582110720075
Test,234_aug3_time2024-12-01_best_5e_acc96.pth,256,0.0,0.4194284809960259,0.3425318505875232,0.3951141656797611
Validation,231_aug3_time2024-11-29_best_5e_acc96.pth,256,0.0,0.49455098209218085,0.3625089008629758,0.4710548996109772
Test,231_aug3_time2024-11-29_best_5e_acc96.pth,256,0.0,0.45705556869506836,0.37788597712040173,0.4361593317079764
Validation,232_aug3_time2024-11-30_best_5e_acc96.pth,256,0.0,0.49905110220623833,0.35730371807112443,0.4713010667188364
Test,232_aug3_time2024-11-30_best_5e_acc96.pth,256,0.0,0.43197014596727157,0.3350854386125306,0.41335291337531543
Validation,235_aug3_time2024-12-02_best_5e_acc96.pth,256,0.0,0.49180071578066575,0.3488684425970652,0.48926342967598363
Test,235_aug3_time2024-12-02_best_5e_acc96.pth,256,0.0,0.4444757302602132,0.34851879059600127,0.4393702252095804
Validation,325_balanced2_time2024-12-03_best_5e_acc97.pth,256,0.0,0.48836316817846054,0.37922312880610937,0.4940819439467905
Test,325_balanced2_time2024-12-03_best_5e_acc97.pth,256,0.0,0.4444421132405599,0.3514301000117533,0.44784501927148135
Validation,324_balanced2_time2024-12-03_best_5e_acc97.pth,256,0.0,0.49118856283334583,0.34400951011235437,0.4557177767393195
Test,324_balanced2_time2024-12-03_best_5e_acc97.pth,256,0.0,0.45529280768500435,0.35119912179384954,0.43591114714939616
Validation,323_balanced2_time2024-12-03_best_1e_acc97.pth,256,0.0,0.48107994927300346,0.37591849507969255,0.4347269370809175
Test,323_balanced2_time2024-12-03_best_1e_acc97.pth,256,0.0,0.4611961841583252,0.3234802308292018,0.4316330831586536
Validation,321_balanced2_time2024-12-02_best_5e_acc97.pth,256,0.0,0.4733057511158479,0.35281216606069893,0.42881608087751794
Test,321_balanced2_time2024-12-02_best_5e_acc97.pth,256,0.0,0.42082076602511936,0.3453605505592641,0.3960901538836863
Validation,322_balanced2_time2024-12-03_best_5e_acc97.pth,256,0.0,0.457621704818856,0.3470356880409892,0.4408052826911755
Test,322_balanced2_time2024-12-03_best_5e_acc97.pth,256,0.0,0.4088476498921712,0.3373229389957858,0.38845347062440455
